Date,Text
2020-7-7,"['У мережі з’явилося відео дорожньо-транспортної пригоди, у якій на службовому автомобілі під час патрулювання потрапили поліцейські у Луцьку.\n\nСпочатку автомобіль спокійно рухається по дорозі. Раптом машина різко злітає на ґрунтову дорогу та врізається в електроопору, передає «Магнолія-ТБ».\n\nУнаслідок аварії, постраждало двоє працівників патрульної поліції. Одного із них у вкрай важкому стані шпиталізували до лікарні.\n\n\n\nУ поліції повідомили, що йдеться про 25-річного командира взводу УПП у Волинській області Олександра Волошина. Він отримав важку політравму, дуже складну черепно-мозкову травму, перелом кісток тазу та внутрішній крововилив.\n\nПопри всі зусилля лікарів, врятувати життя поліцейського не вдалося. Травми, які він отримав у ДТП, виявилися несумісними з життям.', 'varta1.com.ua: Новини']"
2020-7-7,"['Від завтра, 8 липня, з 08:00 год. і до 22:00 год. 28 липня 2020 р., буде перекрито рух транспорту на вул. Моршинська (примикання до вул. Генерала Чупринки).\nПро це повідомили у департаменті житлового господарства та інфраструктури ЛМР.\n\n«У зв’язку з проведенням будівельних робіт з облаштування підвищеного пішохідного переходу на перехресті вул. Генерала Чупринки–вул. Моршинська, від завтра, 8 липня, з 08:00 год. і до 22:00 год. 28 липня 2020 р, буде перекрито рух транспорту на вул. Моршинська, (примикання до вул. Генерала Чупринки)», — йдеться у повідомленні.\n\nРоботи проводить ЛКП «ШРП Галицького району».\n\nОб’їзд дороги відбуватиметься відповідно до затвердженої тимчасової схеми організації дорожнього руху.', 'varta1.com.ua: Новини']"
2020-7-7,"['', 'varta1.com.ua: Новини']"
2020-7-7,"['Компанія міжнародних автобусних перевезень «FlixBus» від 8 липня запускає перші три внутрішні рейси територією України. Відтепер є ще один спосіб львів’ян подорожувати Україною.\n\nПро це повідомили на сайті компанії.\n\nВід 8 липня стануть доступні такі напрямки: ', 'varta1.com.ua: Новини']"
2020-7-7,"['На позачерговому засіданні міської комісії ТЕБ і НС, яке відбулося 7 липня, було прийняте рішення щодо послаблення карантинних заходів, у зв’язку із покращенням епідситуації у місті. Про це повідомили у пресслужбі львівської міської ради.\n\n«Сьогодні на комісії ми обговорювали рішення обласної комісії ТЕБ і НС, які були прийняті вчора. Враховуючи епідситуацію в місті і те, що ми насправді потрапили у зелену зону, відповідно до показників, які визначені постановою Кабміну, на засіданні міської комісії було прийняте рішення про послаблення карантинних заходів. В першу чергу, це стосується відновлення роботи готелів, закладів громадського харчування, спортивних закладів та залів, фітнес-центрів. Відповідно, таке рішення прийняте на засіданні міської комісії ТЕБ і НС, оскільки всі наші попередні рішення були з певними обмеженнями. Наприклад, раніше, якщо йшлося про заклади харчування, то у них могло перебувати до 10 осіб одночасно, або ж, якщо йшлось про спортивний зал чи фітнес-центр, то там також було обмеження у кількості людей, що могли там перебувати у приміщенні. Тепер ці обмеження зняті і ці заклади мають повне право функціонувати.\n\nТакож ми на сьогоднішній комісії дали доручення начальнику управління освіти в частині проведення перевірки дошкільних навчальних закладів та їх готовності до роботи в умовах карантину.\n\nЄ чітке доручення до 9:00 год. 13 липня ми повинні отримати результати перевірки наскільки дошкільні навчальні заклади готові. Аналогічне доручення дане заступнику міського голови з питань розвитку здійснити перевірку готовності до роботи в умовах карантину кінотеатрів, театрів, а також культурних установ. Також доручення дано начальнику управління спорту провести перевірку готовності дитячих юнацьких спортивних шкіл до роботи в умовах карантину. Відповідно, це питання ми зможемо розглядати вже 13 числа, враховуючи епідситуацію, яка буде у Львові та області.\n\nДо того ж, ми прийняли рішення про виділення 4,5 млн грн для закладів охорони здоров’я, закупівлю лікарських засобів, дезінфікуючих засобів, а також засобів індивідуального захисту"", — зазначила заступниця міського голови, очільниця штабу з питань протидії коронавірусу Галина Слічна.', 'varta1.com.ua: Новини']"
2020-7-7,"['Станом на 7 липня, 8:11 год., рятувальники боряться з пожежею на Луганщині.\n\nНа даний момент, пожежу площею приблизно 85 га — локалізовано. Травмованих та загиблих на пожежі не виявлено. Про це повідомили у пресслужбі ДСНС України.\n\n«У зв’язку з поривчастим вітром в післяобідній час виникло ще декілька осередків лісових пожеж (верховий), які розповсюдилися по лісу до житлового сектору селищ Вовче та Смолянінове, Новоайдарського району. Наразі, відбувається евакуація мешканців цих населених пунктів», — повідомляють у ДСНС.\n\nНа місці надзвичайної події працюють 210 чоловік особового складу та 47 одиниць пожежної техніки ГУ ДСНС України у Луганській області.\n\nНа допомогу їм прибули рятувальники з Донецької області у кількості 71 фахівець особового складу та 11 одиниць пожежної техніки.\n\nНевдовзі до ліквідації цієї масштабної пожежі приєднаються також харківські та полтавські рятувальники.\n\nРоботи з локалізації та ліквідації пожежі тривають.\n\n[gallery link=«file» ids=«205132,205133,205134»]', 'varta1.com.ua: Новини']"
2020-7-7,"['Через помсту чоловік спричинив два вогнепальні поранення  жителю Троєщини, якого у тяжкому стані госпіталізували до лікарні. Фігуранта затримали та на час слідства він перебуватиме під вартою. Про цей випадок інформує пресслужба Національної поліції України.\n\nВід лікаря швидкої медичної допомоги надійшло повідомлення до Київської поліції про те, що з вулиці Братиславська госпіталізували чоловіка з вогнепальними пораненнями в праве око та пахову зону.\n\nУ ході відпрацювання записів з камер спостереження та показів потерпілого поліцейські виявили та затримали 35-річного мешканця сусіднього району, раніше судимого за наркозлочини: «Ми з’ясували, що фігурант з 26–річним потерпілим були знайомі. Останній був наставником на роботі, на яку влаштувався підозрюваний. По закінченню випробувального терміну чоловіка звільнили та не сплатили заробітну плату. До цього він вважав причетний його знайомий, тому вирішив помститися. Так, зловмисник під’їхав на велосипеді до магазину та здійснив кілька пострілів у бік жертви», — повідомив начальник відділу кримінальної поліції Деснянського управління поліції Андрій Табала.\n\nПершочергові слідчі та оперативні дії тривають. Встановлюється знаряддя вчинення злочину.\n\nСлідчим відділом Деснянського управління поліції розпочато кримінальне провадження за ч. 2 ст. 15 ч. 1 ст. 115 (замах на умисне вбивство) Кримінального кодексу України. Затриманому оголошено про підозру у вчиненні злочину. На час досудового розслідування фігурант перебуватиме під вартою. Санкція статті передбачає до п’ятнадцяти років позбавлення волі.\n\n[gallery link=«file» ids=«205124,205125»]', 'varta1.com.ua: Новини']"
2020-7-7,"['Президент Угорщини Янош Адер у листі до президента України Володимира Зеленського закликав вирішити ситуацію із забрудненням річки Тиси, оскільки її води несуть купи сміття до Угорщини, з яким угорська влада вже не може впоратися.\n\nЛистом Адера, опублікований на офіційному сайті угорського президента, пише ""Європейська правда«.\n\n»Розчаровує, що забруднення Тиси відходами не було зменшено, і що воно несе тривалу загрозу крихкій екосистемі річки«, — заяв Адер у листі Зеленському.\n\n»Наші машини вже не в змозі впоратися з купами сміття, які надходять у нестримній кількості«, — додав Адер, підкресливши, що така ситуація »не гідна європейських стандартів"".\n\nУгорський президент зазначає, що основна причина забруднення полягає в тому, що населення скидає свої відходи в заплави річок. Він нагадав президенту України, що вже привертав увагу до цієї проблеми в минулому році.\n\nТиса, одна з найголовніших річок у Східній Європі, протікає через Угорщину і Сербію, де впадає в Дунай.\n\nАналогічний лист щодо забруднення ріки Сомеш Адер надіслано президенту Румунії Клаусу Йоганнісу.\n\nЗвертаючись до обох президентів, Адер зазначив, що угорський уряд неодноразово звертався за допомогою до обох сусідніх країн, але у відповідь було занадто мало істотних дій і ще менше покращення ситуації.\n\nУгорський президент підкреслив, що після нещодавніх повеней велика кількість пластикових пляшок та інших відходів потрапила до Угорщини, що перешкоджає рибальству, туризму та чинить серйозний вплив на дику природу.\n\nПрезидент Угорщини просить обох президентів використати свій вплив, щоб зупинити забруднення рік.', 'varta1.com.ua: Новини']"
2020-7-7,"['Згідно з даними синоптиків, у середу, 8 липня, в Україні без опадів, температура до +36 °С.  Про це повідомляє «УНІАН».\n\nНа заході України буде без опадів. Температура вночі до +10 °С, вдень до +22 °С.\n\nУ східних областях також без опадів, температура вночі до +14 °С, вдень до +36 °С. Мешканців південних регіонів очікує мінлива хмарність. Вночі температура до +14 °С, вдень до +30 °С.\n\nУ північних областях хмарно з проясненнями. Температура вночі до +10 °С, вдень до +23 °С. У центрі без опадів, температура вночі до +11 °С, вдень до +29 °С.', 'varta1.com.ua: Новини']"
2020-7-7,"['Дорожньо-транспортна пригода сталась 6 липня, близько 5:20 год., у селищі Бориня, Турківського району.\n\nПравоохоронці встановили, що водій автомобіля «ВАЗ 21112» не впорався з керуванням, з’їхав з дороги та перекинувся.', 'varta1.com.ua: Новини']"
2020-7-7,"['Сьогодні, 7 липня, після проведення міської комісії з надзвичайних ситуацій стало відомо, що впродовж тижня триватимуть перевірки на готовність до відкриття. Про результати повідомив мер міста Андрій Садовий на своїй сторінці, у «Facebook».\n\n""За даними епідеміологів ріст захворювання на COVID-19 йде на спад. Якщо ситуація буде покращуватись, то ми зможемо послабити карантинні обмеження. Комісія прийняла рішення продовж тижня перевірити на готовність до відкриття кінотеатри, театри, концертні майданчики, дитячі садочки та спортивні школи. Також це стосується організації та проведення заходів з дотриманням дистанції 1 особа на 5 м²"", — йдеться у повідомленні.', 'varta1.com.ua: Новини']"
2020-7-7,"['Від 7 липня « Укрзалізниця» розпочала прийом цифрових студентських квитків із мобільного додатку «Дія» для посадки на потяг, а також купівлі квитків.  Як і паперовий документ, цифровий аналог даватиме право на пільговий проїзд. Про це повідомили у пресслужбі «УЗ».\n\n«Цифровий студентський має такі ж переваги, як і пластиковий оригінал: ідентифікує особу, підтверджує статус студента та надає знижки. Пільговий проїзд надається студентам ВНЗ I-IV рівнів акредитації та учням професійно-технічних навчальних закладів», — повідомилиу компанії.\n\nВідтак, подорожувати зі знижками з Е-студентським можна у:\n— загальних і плацкартних вагонах;\n— вагонах 2-3 класу всіх категорій міжміського сполучення;\n— усіх вагонах регіональних поїздів;\n— поїздах приміського сполучення.\n\nОднак при проїзді у вагонах вищої категорії типу СВ, купе та у вагонах 1-го класу, крім поїздів категорії «Регіональний поїзд», для студентів встановлена повна вартість квитка.\n\nЗагалом Укрзалізниця приймає вже чотири цифрові документи з Дії: ID-картку, закордонний біометричний паспорт, водійське посвідчення та студентський квиток.\n\nЗастосунок Дія доступний за посиланням.\n\nНагадаємо, що відповідно до п. 1 Постанови КМУ від 18 грудня 2019 р. № 1051, електронні студентські квитки можна пред’являти замість студентських (учнівських) квитків закладу вищої та/або професійної (професійно-технічної) освіти, для підтвердження статусу студента (учня) такого закладу та реалізації його права на пільги, передбачені законодавством України.\n\nПосадка в поїзд осіб за пільговими проїзними документами здійснюється за наявності:\n— проїзного документа;\n— документа, що посвідчує особу;\n— документа, що підтверджує право на пільговий проїзд (студентський квиток у цьому випадку).', 'varta1.com.ua: Новини']"
2020-7-7,"['', 'varta1.com.ua: Новини']"
2020-7-7,"['За минулу добу, українські військовослужбовці завдали суттєвих втрат армії окупантів: 8 загинули, одного поранено. Такі дані розвідки оприлюднили 7 липня у пресцентрі Операції об’єднаних сил.\n\n«Вчора, під час обстрілу позицій захисників України, дії ворога несли загрозу життю та здоров’ю наших воїнів. У відповідь незаконним збройним формуванням Російської Федерації військовослужбовці Об’єднаних сил відкрили вогонь із дозволеного Мінськими домовленостями озброєння.\nЗа даними нашої розвідки, після придушення ворожої активності вісім окупантів загинули, одного поранено. Також було знищено один бліндаж та дві самохідні артилерійські установки загарбників, які знаходилися на вогневих позиціях противника із суттєвим порушенням лінії відведення згідно з Меморандумом та Комплексом заходів з виконання Мінських домовленостей», — повідомляють у штабі ООС.\n\nВ Операції об’єднаних сил додали, що російські окупанти несуть суттєві втрати.\n\n«Агресія супротивника була подавлена, моральний дух зломлений — у підрозділах окупаційних військ РФ морально-психологічний стан різко погіршився», — додали у штабі.', 'varta1.com.ua: Новини']"
